NumDynamicObstacles,Algorithm,MonteCarloIndex,ScenarioSeed,Success,Collision,TriggerRatePercent,AvgCPUms,MaxCPUms,StdCPUms,MinDistanceMeter,MinClearanceMeter,ControlEffort,TotalClimbMeter,EstEnergyWh,Steps
1,Proposed ET-NMPC,1,13027,1,0,75.3731343283582,1874.81008656716,2826.5495,1079.37083786987,9.66092850835572,7.36092850835572,102.370422390271,10.5224019962754,0.218929547600797,134
1,Proposed ET-NMPC,2,13028,1,0,75,1838.45275,2769.8603,1068.66555608163,6.83750650097919,4.53750650097919,100.563287877553,10.3907245032633,0.215774267052999,132
1,Proposed ET-NMPC,3,13029,1,0,75,1811.20167954545,2693.9207,1051.10064425901,5.35321769428535,3.05321769428535,99.9211279918885,10.4017131811993,0.215811329657391,132
1,Proposed ET-NMPC,4,13030,1,0,75.7575757575758,1825.86095151515,2547.1368,1037.73844870527,6.12642424916541,3.82642424916541,100.921834754669,10.3558348638966,0.215619250303195,132
1,Proposed ET-NMPC,5,13031,1,0,75.187969924812,1811.10945037594,2550.7302,1045.26011939515,6.89546373002457,4.59546373002457,101.696696354908,10.3984439979494,0.217085514976085,133
1,Proposed ET-NMPC,6,13032,1,0,75.7575757575758,1834.65271060606,2557.9248,1042.93920281157,8.01650936501709,5.71650936501709,100.396342484989,10.417054520025,0.215893555947974,132
1,Proposed ET-NMPC,7,13033,1,0,76.1194029850746,1846.1849619403,2677.4449,1039.46790258919,10.1896850495649,7.88968504956492,102.369659446768,10.5222231667508,0.218928695257146,134
1,Proposed ET-NMPC,8,13034,1,0,76.1194029850746,1841.52737910448,2631.3617,1036.69443223855,8.50811516644811,6.20811516644811,102.388206540234,10.5548986469446,0.219081748586542,134
1,Proposed ET-NMPC,9,13035,1,0,75.3731343283582,1818.04636044776,2565.5192,1044.08882991168,9.91253755492232,7.61253755492232,102.36964880028,10.5222222839233,0.218928690896492,134
1,Proposed ET-NMPC,10,13036,1,0,75.9398496240601,1829.05090902256,2547.068,1034.37148856128,8.3833047667178,6.0833047667178,101.291884745932,10.4418554657854,0.217279312733729,133
1,Proposed ET-NMPC,11,13037,1,0,75.3731343283582,1813.36304179104,2557.4748,1041.31988458965,7.43350147464278,5.13350147464278,102.427302156471,10.5760548386711,0.219181447016507,134
1,Proposed ET-NMPC,12,13038,1,0,74.8091603053435,1802.86739770992,2606.167,1051.00285977763,5.5644908635648,3.2644908635648,100.652480293922,10.5368829466311,0.215209017835,131
1,Proposed ET-NMPC,13,13039,1,0,76.1194029850746,1837.5761358209,2582.5733,1034.18182758504,7.78462370173705,5.48462370173705,102.401661894745,10.5569132373959,0.219091458609814,134
