SummaryType,AlgorithmMode,Metric,N,Mean,Std,Median,CI95Lower,CI95Upper
Mode,Asymmetric ET-NMPC,TotalClimbMeter,30,11.5201698719336,1.19663622572596,11.1802623761451,11.0733385617805,11.9670011820867
Mode,Asymmetric ET-NMPC,EstimatedEnergyWh,30,0.225538072594896,0.0118659055645279,0.221448533611406,0.221107270638909,0.229968874550883
Mode,Asymmetric ET-NMPC,PathLengthMeter,30,60.551105493935,1.42559407513779,59.9711924114186,60.0187799177525,61.0834310701174
Mode,Asymmetric ET-NMPC,FlightTimeSec,30,13.5466666666667,0.581160155582591,13.4,13.3296578981328,13.7636754352005
Mode,Asymmetric ET-NMPC,MinClearanceMeter,30,1.92517516129969,0.660358016544393,1.80350927150918,1.67859342546461,2.17175689713478
Mode,Asymmetric ET-NMPC,TriggerRatePercent,30,77.9237877514758,1.44736763414978,77.9018859452178,77.3833317947392,78.4642437082124
Mode,Asymmetric ET-NMPC,ControlEffort,30,107.508985834565,5.43161112858416,106.820788605751,105.480788906668,109.537182762462
Mode,Asymmetric ET-NMPC,SuccessPercent,30,100,0,100,100,100
Mode,Asymmetric ET-NMPC,CollisionPercent,30,0,0,0,0,0
Mode,Symmetric-energy ET-NMPC,TotalClimbMeter,30,11.3031539873301,1.23311604368493,11.1226089699677,10.8427008892833,11.763607085377
Mode,Symmetric-energy ET-NMPC,EstimatedEnergyWh,30,0.221862024512149,0.0180740007970208,0.220471682579378,0.21511308169877,0.228610967325527
Mode,Symmetric-energy ET-NMPC,PathLengthMeter,30,59.6745213741152,4.59810874803586,59.955864703815,57.9575593501175,61.3914833981129
Mode,Symmetric-energy ET-NMPC,FlightTimeSec,30,13.3366666666667,1.08960079160097,13.35,12.9298030444664,13.743530288867
Mode,Symmetric-energy ET-NMPC,MinClearanceMeter,30,1.92566697436588,0.656663797146837,1.8918993091053,1.68046468272437,2.17086926600738
Mode,Symmetric-energy ET-NMPC,TriggerRatePercent,30,77.4465420362311,2.68607839900283,77.8201865988126,76.4435438782301,78.4495401942322
Mode,Symmetric-energy ET-NMPC,ControlEffort,30,105.831661281505,9.59855822768549,106.462918253409,102.247500735257,109.415821827752
Mode,Symmetric-energy ET-NMPC,SuccessPercent,30,96.6666666666667,18.2574185835055,100,89.8492345262243,103.484098807109
Mode,Symmetric-energy ET-NMPC,CollisionPercent,30,3.33333333333333,18.2574185835055,0,-3.48409880710902,10.1507654737757
PairedDifference,Asymmetric - Symmetric,TotalClimbMeter,30,0.217015884603439,0.766916133072336,0.000526100909658211,-0.0693553058645637,0.503387075071441
PairedDifference,Asymmetric - Symmetric,EstimatedEnergyWh,30,0.00367604808274724,0.0143604305399804,3.96882483742894e-05,-0.00168622480736988,0.00903832097286436
PairedDifference,Asymmetric - Symmetric,PathLengthMeter,30,0.876584119819726,4.41150869163696,-0.0150057836638204,-0.770700297999212,2.52386853763866
PairedDifference,Asymmetric - Symmetric,FlightTimeSec,30,0.21,0.932312660297888,0,-0.138131268732501,0.558131268732501
PairedDifference,Asymmetric - Symmetric,MinClearanceMeter,30,-0.00049181306618374,0.210917009442326,-0.000649266830387685,-0.0792495187386146,0.0782658926062471
PairedDifference,Asymmetric - Symmetric,TriggerRatePercent,30,0.477245715244654,2.13525597140998,0,-0.32007196802921,1.27456339851852
PairedDifference,Asymmetric - Symmetric,ControlEffort,30,1.6773245530602,8.02094294457938,0.0101636156509031,-1.31774476503233,4.67239387115272
PairedDifference,Asymmetric - Symmetric,SuccessPercent,30,3.33333333333333,18.2574185835055,0,-3.48409880710902,10.1507654737757
PairedDifference,Asymmetric - Symmetric,CollisionPercent,30,-3.33333333333333,18.2574185835055,0,-10.1507654737757,3.48409880710902
