TrialIndex,ScenarioSeed,AlgorithmMode,SampleIndex,TimeSec,X,Y,Z
1,2027,Asymmetric ET-NMPC,1,0,0,0,3
1,2027,Asymmetric ET-NMPC,2,0.1,0,0,3
1,2027,Asymmetric ET-NMPC,3,0.2,0.0209497155622598,0.0209497155622598,3.00471368600151
1,2027,Asymmetric ET-NMPC,4,0.3,0.0628491466867795,0.0628491466867795,3.01414105800453
1,2027,Asymmetric ET-NMPC,5,0.4,0.125698293373559,0.125698293373559,3.02828211600905
1,2027,Asymmetric ET-NMPC,6,0.5,0.209497155622598,0.209497155622598,3.04713686001508
1,2027,Asymmetric ET-NMPC,7,0.6,0.314245733433897,0.314245733433897,3.07070529002263
1,2027,Asymmetric ET-NMPC,8,0.7,0.439944026807456,0.439944026807456,3.09898740603168
1,2027,Asymmetric ET-NMPC,9,0.8,0.586592035743275,0.586592035743275,3.13198320804224
1,2027,Asymmetric ET-NMPC,10,0.9,0.754189760241354,0.754189760241354,3.16969269605431
1,2027,Asymmetric ET-NMPC,11,1,0.942737200301692,0.942737200301692,3.21211587006788
1,2027,Asymmetric ET-NMPC,12,1.1,1.15223435592429,1.15223435592429,3.25925273008297
1,2027,Asymmetric ET-NMPC,13,1.2,1.38268122710915,1.38268122710915,3.31110327609956
1,2027,Asymmetric ET-NMPC,14,1.3,1.63407781385627,1.63407781385627,3.36766750811766
1,2027,Asymmetric ET-NMPC,15,1.4,1.90642411616564,1.90642411616564,3.42894542613727
1,2027,Asymmetric ET-NMPC,16,1.5,2.19972013403728,2.19972013403728,3.49493703015839
1,2027,Asymmetric ET-NMPC,17,1.6,2.5104742482108,2.5104742482108,3.56485670584743
1,2027,Asymmetric ET-NMPC,18,1.7,2.83432193461074,2.83432193461074,3.63772243528742
1,2027,Asymmetric ET-NMPC,19,1.8,3.16798980018048,3.16798980018048,3.71279770504061
1,2027,Asymmetric ET-NMPC,20,1.9,3.50902280012758,3.50902280012758,3.78953013002871
1,2027,Asymmetric ET-NMPC,21,2,3.85557965085769,3.85557965085769,3.86750542144298
1,2027,Asymmetric ET-NMPC,22,2.1,4.20474157689536,4.20474157689536,3.94606685480146
1,2027,Asymmetric ET-NMPC,23,2.2,4.55390350293302,4.55390350293302,4.02462828815993
1,2027,Asymmetric ET-NMPC,24,2.3,4.90306542897069,4.90306542897069,4.1031897215184
1,2027,Asymmetric ET-NMPC,25,2.4,5.25222735500835,5.25222735500835,4.18175115487688
1,2027,Asymmetric ET-NMPC,26,2.5,5.60138928104601,5.60138928104601,4.26031258823535
1,2027,Asymmetric ET-NMPC,27,2.6,5.95055120708368,5.95055120708368,4.33887402159383
1,2027,Asymmetric ET-NMPC,28,2.7,6.29971313312134,6.29971313312134,4.4174354549523
1,2027,Asymmetric ET-NMPC,29,2.8,6.64887505915901,6.64887505915901,4.49599688831078
1,2027,Asymmetric ET-NMPC,30,2.9,6.99803698519667,6.99803698519667,4.57455832166925
1,2027,Asymmetric ET-NMPC,31,3,7.34719891123433,7.34719891123433,4.65311975502772
1,2027,Asymmetric ET-NMPC,32,3.1,7.71273406950912,7.6756415996414,4.74536642703797
1,2027,Asymmetric ET-NMPC,33,3.2,8.09331488115374,7.9823600020773,4.85063782588442
1,2027,Asymmetric ET-NMPC,34,3.3,8.49025580545486,8.26539582888017,4.96167216003827
1,2027,Asymmetric ET-NMPC,35,3.4,8.90167967618755,8.52420877112567,5.07891660347831
1,2027,Asymmetric ET-NMPC,36,3.5,9.32851513705067,8.75874082641597,5.19208110493998
1,2027,Asymmetric ET-NMPC,37,3.6,9.75938087721379,8.99584416367049,5.282284882114
1,2027,Asymmetric ET-NMPC,38,3.7,10.1899198761864,9.24025012916117,5.35229841220813
1,2027,Asymmetric ET-NMPC,39,3.8,10.6281012715599,9.4759421009382,5.40175909546672
1,2027,Asymmetric ET-NMPC,40,3.9,11.0728503914228,9.69429298020957,5.46899832436317
1,2027,Asymmetric ET-NMPC,41,4,11.5161769211533,9.91677723351034,5.53194548530243
1,2027,Asymmetric ET-NMPC,42,4.1,11.9598960865871,10.1390790642418,5.59273362789737
1,2027,Asymmetric ET-NMPC,43,4.2,12.4051863784843,10.3574834498832,5.65610617932706
1,2027,Asymmetric ET-NMPC,44,4.3,12.8455624257658,10.5824908897679,5.72986652759956
1,2027,Asymmetric ET-NMPC,45,4.4,13.2808217618513,10.8131008720746,5.8157056003514
1,2027,Asymmetric ET-NMPC,46,4.5,13.7111138619796,11.0493850779126,5.91067129225479
1,2027,Asymmetric ET-NMPC,47,4.6,14.1361369843757,11.290191279685,6.01729079617678
1,2027,Asymmetric ET-NMPC,48,4.7,14.5567221726773,11.5365511399742,6.12871304987684
1,2027,Asymmetric ET-NMPC,49,4.8,14.9710696654304,11.7916507144895,6.24377982323635
1,2027,Asymmetric ET-NMPC,50,4.9,15.378406012609,12.0573967620489,6.35978042010449
1,2027,Asymmetric ET-NMPC,51,5,15.7740421262169,12.3332545791712,6.49159290184185
1,2027,Asymmetric ET-NMPC,52,5.1,16.1526730061403,12.6262324505394,6.63582404846757
1,2027,Asymmetric ET-NMPC,53,5.2,16.5244291988466,12.9245954020131,6.78674416764468
1,2027,Asymmetric ET-NMPC,54,5.3,16.8952362093955,13.2295537965626,6.92639565715191
1,2027,Asymmetric ET-NMPC,55,5.4,17.2477337696335,13.5576873712877,7.060834591856
1,2027,Asymmetric ET-NMPC,56,5.5,17.598774564702,13.8890125120074,7.19119567241592
1,2027,Asymmetric ET-NMPC,57,5.6,17.9631005277117,14.2031502521617,7.32751908525407
1,2027,Asymmetric ET-NMPC,58,5.7,18.3319382134544,14.5002870847347,7.43953995708531
1,2027,Asymmetric ET-NMPC,59,5.8,18.7128235673852,14.8104506400352,7.53294721656937
1,2027,Asymmetric ET-NMPC,60,5.9,19.1046803740106,15.1008795967787,7.64294387191051
1,2027,Asymmetric ET-NMPC,61,6,19.5013221921413,15.392513188346,7.73026578427802
1,2027,Asymmetric ET-NMPC,62,6.1,19.9137062847509,15.6667010335331,7.79926133278825
1,2027,Asymmetric ET-NMPC,63,6.2,20.3366329574757,15.9195166842141,7.88421588692532
1,2027,Asymmetric ET-NMPC,64,6.3,20.7685503961248,16.1505561166349,7.98455584336099
1,2027,Asymmetric ET-NMPC,65,6.4,21.2079382704283,16.3595890010672,8.09963646354051
1,2027,Asymmetric ET-NMPC,66,6.5,21.6532201649925,16.5464595666743,8.22926449323723
1,2027,Asymmetric ET-NMPC,67,6.6,22.0922177788792,16.7227233267466,8.38624217544942
1,2027,Asymmetric ET-NMPC,68,6.7,22.5309459244588,16.9104976403384,8.53543474038278
1,2027,Asymmetric ET-NMPC,69,6.8,22.9668813800695,17.1075176249746,8.68084245749404
1,2027,Asymmetric ET-NMPC,70,6.9,23.4077773776991,17.2823168245921,8.83913319976029
1,2027,Asymmetric ET-NMPC,71,7,23.8422905826408,17.4818287654315,8.98165877857041
1,2027,Asymmetric ET-NMPC,72,7.1,24.2561127729497,17.6949619600236,9.10726267425895
1,2027,Asymmetric ET-NMPC,73,7.2,24.6465370359486,17.9091961980034,9.21412291232523
1,2027,Asymmetric ET-NMPC,74,7.3,25.0127190778659,18.1174990856279,9.30433581426853
1,2027,Asymmetric ET-NMPC,75,7.4,25.3554689264773,18.3128403650432,9.38102359035269
1,2027,Asymmetric ET-NMPC,76,7.5,25.703120774232,18.5291097411108,9.47863946178526
1,2027,Asymmetric ET-NMPC,77,7.6,26.0585658976991,18.7658640496143,9.59674026418599
1,2027,Asymmetric ET-NMPC,78,7.7,26.4228669492809,19.0228862219843,9.73510892862275
1,2027,Asymmetric ET-NMPC,79,7.8,26.7991561853997,19.2993542617642,9.89292345822889
1,2027,Asymmetric ET-NMPC,80,7.9,27.1805737473105,19.5849898776715,10.0443597101347
1,2027,Asymmetric ET-NMPC,81,8,27.561856067872,19.875563670808,10.1864535621111
1,2027,Asymmetric ET-NMPC,82,8.1,27.9391097893813,20.1669672000201,10.3373297125463
1,2027,Asymmetric ET-NMPC,83,8.2,28.3124213515063,20.4590548328186,10.4964626517823
1,2027,Asymmetric ET-NMPC,84,8.3,28.6818886694094,20.7516989977245,10.6633557125968
1,2027,Asymmetric ET-NMPC,85,8.4,29.0476186644583,21.044788311171,10.8375401696101
1,2027,Asymmetric ET-NMPC,86,8.5,29.4097251149206,21.3382258546877,11.0185742177571
1,2027,Asymmetric ET-NMPC,87,8.6,29.7683267978707,21.6319276014713,11.2060418600895
1,2027,Asymmetric ET-NMPC,88,8.7,30.1320829981943,21.9328842159126,11.3706825080174
1,2027,Asymmetric ET-NMPC,89,8.8,30.4754909019813,22.2483796505071,11.5510533547932
1,2027,Asymmetric ET-NMPC,90,8.9,30.7976202521193,22.5771558710818,11.7463451328187
1,2027,Asymmetric ET-NMPC,91,9,31.1057786898493,22.9120134578327,11.9534894637841
1,2027,Asymmetric ET-NMPC,92,9.1,31.4046205353102,23.2495296075059,12.1697679881718
1,2027,Asymmetric ET-NMPC,93,9.2,31.6808173965393,23.5976551584858,12.3989489092847
1,2027,Asymmetric ET-NMPC,94,9.3,31.9391453917397,23.9520933789034,12.6390326338537
1,2027,Asymmetric ET-NMPC,95,9.4,32.1837814204897,24.3100777471883,12.8880314400779
1,2027,Asymmetric ET-NMPC,96,9.5,32.4053438703676,24.6756082807397,13.1474490760353
1,2027,Asymmetric ET-NMPC,97,9.6,32.6125498931183,25.0439326441841,13.4146621509945
1,2027,Asymmetric ET-NMPC,98,9.7,32.8246721112406,25.4082719763297,13.6834762421998
1,2027,Asymmetric ET-NMPC,99,9.8,33.0229737228973,25.7770828997991,13.9567068655641
1,2027,Asymmetric ET-NMPC,100,9.9,33.2229743766378,26.1591745488319,14.209700363984
1,2027,Asymmetric ET-NMPC,101,10,33.4276254091642,26.5541220623274,14.4380299863935
1,2027,Asymmetric ET-NMPC,102,10.1,33.6437289502176,26.9554914639582,14.6434609066043
1,2027,Asymmetric ET-NMPC,103,10.2,33.8703762202178,27.3620259537111,14.8261100884883
1,2027,Asymmetric ET-NMPC,104,10.3,34.106667795311,27.7725447819464,14.9862368607789
1,2027,Asymmetric ET-NMPC,105,10.4,34.3517251432482,28.1859524274709,15.1242260445721
1,2027,Asymmetric ET-NMPC,106,10.5,34.6047001990119,28.6012446474361,15.2405703319167
1,2027,Asymmetric ET-NMPC,107,10.6,34.864782988541,29.0175116623584,15.3358526223934
1,2027,Asymmetric ET-NMPC,108,10.7,35.1312073430265,29.4339388604461,15.4107288671561
1,2027,Asymmetric ET-NMPC,109,10.8,35.4032548707628,29.8498053993286,15.4659118762301
1,2027,Asymmetric ET-NMPC,110,10.9,35.6802573675555,30.2644811176318,15.5021563988561
1,2027,Asymmetric ET-NMPC,111,11,35.9615978761991,30.6774221500949,15.5202456748064
1,2027,Asymmetric ET-NMPC,112,11.1,36.2467106164423,31.0881656062399,15.520979558374
1,2027,Asymmetric ET-NMPC,113,11.2,36.53507995117,31.4963236656813,15.5051642081798
1,2027,Asymmetric ET-NMPC,114,11.3,36.8239982788684,31.9030864018648,15.4724491295088
1,2027,Asymmetric ET-NMPC,115,11.4,37.1092848067161,32.3106090811453,15.4220818494486
1,2027,Asymmetric ET-NMPC,116,11.5,37.3868050052824,32.7208744211333,15.3537818480416
1,2027,Asymmetric ET-NMPC,117,11.6,37.6538449519565,33.1347796708554,15.2679208491375
1,2027,Asymmetric ET-NMPC,118,11.7,37.908523316683,33.5525995797112,15.1651324533725
1,2027,Asymmetric ET-NMPC,119,11.8,38.1494002085043,33.9742911821853,15.0461597027555
1,2027,Asymmetric ET-NMPC,120,11.9,38.3754141422836,34.399575276905,14.9118051698358
1,2027,Asymmetric ET-NMPC,121,12,38.5858243991513,34.8280082800153,14.7629002147445
1,2027,Asymmetric ET-NMPC,122,12.1,38.7801923860611,35.2590277917008,14.6002863585976
1,2027,Asymmetric ET-NMPC,123,12.2,38.9583267436208,35.6919156831686,14.4245700415482
1,2027,Asymmetric ET-NMPC,124,12.3,39.119970181616,36.1235253753221,14.2307028896315
1,2027,Asymmetric ET-NMPC,125,12.4,39.2654237034878,36.5520100636516,14.0179961787778
1,2027,Asymmetric ET-NMPC,126,12.5,39.3969433472759,36.9725261299379,13.7946142394463
1,2027,Asymmetric ET-NMPC,127,12.6,39.5141650087749,37.3754101112319,13.5703328598287
