Algorithm,NumDynamicObstacles,NumStaticBuildings,Success,Collision,TriggerRatePercent,AvgCPUms,MaxCPUms,StdCPUms,MinDistanceMeter,MinClearanceMeter,ControlEffort,TotalClimbMeter,Steps
Proposed ET-NMPC,5,15,1,0,78.1954887218045,1945.72405037594,2696.3023,1031.31400379495,4.09977045078471,2.26946648060528,104.545760367256,10.9507298406124,133
C-NMPC,5,15,1,0,100,2550.84948787879,3381.3218,186.460875467377,3.96321117951638,2.13290720933694,113.632340449597,10.8836237472463,132
NP-ET-NMPC,5,15,1,0,75.3731343283582,1869.41469179104,2615.3564,1072.90403427205,3.52916773410895,1.69886376392951,101.839402716582,10.719023087223,134
SE-ET-NMPC,5,15,1,0,76.6917293233083,1890.07089097744,2597.9435,1046.17400595532,4.21105655274811,2.38075258256868,105.300813894157,10.978025891569,133
3D-APF,5,15,0,1,0,0.284975,9.2694,1.04051680874066,1.87070045785345,0.0403964876740208,92.7,8.14976955391051,104
RRT*,5,15,0,1,0,3.9904037037037,72.3218,16.2386246837822,2.67578682472021,0.845482854540778,47.7,5.91241104451791,54
