ExperimentType,R_on,R_off,T_ref,RepeatIndex,TriggerRatePercent,AvgCPUms,MaxCPUms,StdCPUms,MinDistanceMeter,MinClearanceMeter,Success,Collision,SwitchCount,Steps
R_on,0.4,0.1,5,1,88.3211678832117,2277.30627591241,2913.1911,835.851704903921,3.04144787862014,1.45214827782789,1,0,1,137
R_on,0.4,0.1,5,2,86.3636363636364,2288.39525909091,3112.7273,915.633124075481,4.62491113693712,2.9729726289183,1,0,1,132
R_on,0.4,0.1,5,3,88.8888888888889,2356.67465259259,2807.8704,837.739540780169,3.31141680135344,1.29426467376614,1,0,1,135
R_on,0.4,0.1,5,4,88.6363636363636,2347.52031666667,2893.3954,845.277556976362,3.90221568264548,2.01738254916325,1,0,1,132
R_on,0.4,0.1,5,5,87.2340425531915,2316.25197943262,2813.5502,890.79402061772,3.04996666818168,1.29778971305416,1,0,1,141
R_on,0.4,0.1,5,6,86.8421052631579,2316.03133070175,2811.8838,906.682197814063,2.78260811747662,1.00878056738124,0,1,1,114
R_on,0.4,0.1,5,7,87.0229007633588,2299.15015877863,2764.245,892.220568766939,3.86488773251738,2.2351919407947,1,0,1,131
R_on,0.4,0.1,5,8,85.8208955223881,2280.00098358209,2928.9676,931.796917066409,4.84275163356821,2.88039970008299,1,0,1,134
R_on,0.4,0.1,5,9,85.2941176470588,2263.77890661765,2848.0416,944.672609567679,4.76383286982912,3.14133597236099,1,0,1,136
R_on,0.4,0.1,5,10,87.5,2284.41158088235,2965.8238,874.275632373004,4.09451808741433,2.21706095213334,1,0,1,136
R_on,0.4,0.1,5,11,89.1156462585034,2202.33211836735,2630.3925,773.399582333987,3.17498276512196,1.2016322647331,1,0,1,147
R_on,0.4,0.1,5,12,87.0229007633588,2141.49522824428,2590.548,830.891837289449,4.30158440618463,2.46951483224132,1,0,1,131
R_on,0.4,0.1,5,13,89.6296296296296,2212.67242148148,2986.1607,757.473017789561,4.1129024287181,2.22095195466101,1,0,1,135
R_on,0.4,0.1,5,14,89.3129770992366,2200.33557328244,2593.542,764.72079959159,4.2048520128389,2.26787927795323,1,0,1,131
R_on,0.4,0.1,5,15,83.969465648855,2066.34069923664,2578.8008,906.71004536679,4.68161371199157,2.88583316682339,1,0,1,131
R_on,0.4,0.1,5,16,86.3636363636364,2142.75707121212,2767.3792,855.706744422033,3.2721152950678,1.47318018514312,1,0,1,132
R_on,0.4,0.1,5,17,88.5714285714286,2194.317675,2728.1725,792.320315758104,3.25391373560755,1.36220657411795,1,0,1,140
R_on,0.4,0.1,5,18,91.8032786885246,2279.5489704918,2617.8347,684.008440463484,2.73787331467202,0.818193560493333,1,0,1,183
R_on,0.4,0.1,5,19,88.7323943661972,2195.91493591549,2608.4957,786.074593531918,3.87956367092199,2.00706209395508,1,0,1,142
R_on,0.4,0.1,5,20,87.0229007633588,2150.54977175573,2600.7084,834.209672168585,3.76612056646726,2.14896263190799,1,0,1,131
R_on,0.4,0.1,5,21,84.7328244274809,2094.47692900763,2609.9205,893.07463936868,4.09080984964044,2.15502970411938,1,0,1,131
R_on,0.4,0.1,5,22,87.1212121212121,2206.86564469697,2731.3559,854.363536124437,3.13099165797543,1.53159906118073,1,0,1,132
R_on,0.4,0.1,5,23,88.7218045112782,2347.85965714286,2784.8275,841.569347291937,3.63077640111837,1.9476533398016,1,0,1,133
R_on,0.4,0.1,5,24,87.218045112782,2303.41888796992,2770.5942,886.163014390041,3.94581369345145,2.00688440815607,1,0,1,133
R_on,0.4,0.1,5,25,88.3211678832117,2347.47659416058,3305.8821,859.95434868732,4.14505899155446,2.43341669645199,1,0,1,137
R_on,0.5,0.2,5,1,80.3030303030303,2128.01954924242,2832.2354,1058.88608364964,3.65866495261997,1.89973028604391,1,0,2,132
