R_on,R_off,T_ref,TriggerRatePercent,AvgCPUms,MaxCPUms,StdCPUms,MinDistanceMeter,MinClearanceMeter,SuccessRatePercent,CollisionRatePercent,SwitchCount
0.6,0.2,1,76.9160269864729,1920.37248160944,2643.103188,1053.40622934711,3.92866118125431,2.12940644967583,96,4,1.84
0.6,0.2,5,78.1359887888755,2046.07166083317,2838.828324,1085.87684826192,3.61179779453715,1.79273382908119,100,0,1.88
0.6,0.2,10,76.4767969119484,2036.35706674552,2920.281808,1126.99205532469,3.5641921598429,1.81100981080618,92,8,1.88
0.6,0.2,15,76.8891956926226,2045.69736672864,2980.767244,1122.97269578099,3.56643986596211,1.78178528652579,96,4,1.96
0.6,0.2,20,77.5659942012555,2076.55957340856,2956.179452,1118.06043569794,3.72784063335218,1.97970861564439,92,8,1.72
