R_on,R_off,T_ref,TriggerRatePercent,AvgCPUms,MaxCPUms,StdCPUms,MinDistanceMeter,MinClearanceMeter,SuccessRatePercent,CollisionRatePercent,SwitchCount
0.4,0.1,5,87.583337229198,2244.63534488892,2790.572436,847.823352300786,3.78430116439502,1.97789306908889,96,4,1
0.5,0.2,5,79.5037465425348,2039.19689052678,2800.737816,1029.01947696634,3.73736763532717,1.89700406421892,92,8,1.88
0.6,0.3,5,75.6510511574614,1874.83370046844,2681.064072,1065.62043479428,3.86523981975446,2.0827702314838,100,0,2
0.7,0.4,5,16.9774968643981,420.974876454063,2619.19616,768.97918722727,3.7762562346238,1.96806753795566,12,0,2
0.8,0.5,5,13.3970335110504,336.238711669677,2673.78604,728.989732203769,3.51578902857071,1.71805090311077,8,4,2.04
