Algorithm,RepeatIndex,ScenarioSeed,NumDynamicObstacles,NumStaticBuildings,Success,Collision,MetricValid,FailureReason,TriggerRatePercent,AvgCPUms,MaxCPUms,StdCPUms,MinDistanceMeter,MinClearanceMeter,ControlEffort,TotalClimbMeter,PathLengthMeter,EstimatedEnergyJ,EstimatedEnergyWh,Steps
SE-ET-NMPC,3,2029,5,15,1,0,1,Success,75.7575757575758,1871.43737348485,2595.7442,1062.9189010813,3.59911199953144,1.72424438962139,104.105050513507,10.5036598119129,59.5212056387642,2805.01203550173,0.77917000986159,132
SE-ET-NMPC,4,2030,5,15,1,0,1,Success,77.2727272727273,1906.07550151515,2591.0802,1037.73758624556,4.26438993978889,2.58306030733467,103.509287396481,11.236845490641,59.6073227201061,2819.23311964265,0.783120311011848,132
SE-ET-NMPC,5,2031,5,15,1,0,1,Success,78.3216783216783,1935.53905384615,2935.5906,1022.79777080684,3.35905816983618,1.52215729707176,114.831118708343,10.7359121863503,60.0059362158315,3029.34644859118,0.841485124608661,143
SE-ET-NMPC,6,2032,5,15,1,0,1,Success,78.6764705882353,1938.80849852941,2594.6046,1013.31632982754,4.0925973660043,2.32676628293998,108.75644283706,12.6652697219727,61.3797549839316,2931.75494847245,0.81437637457568,136
SE-ET-NMPC,7,2033,5,15,1,0,1,Success,77.037037037037,1898.87680814815,2588.236,1040.79599509619,4.27529151368803,2.57775442155019,105.94111449653,10.8303520666985,59.3803289074558,2869.55170136659,0.797097694824052,135
SE-ET-NMPC,8,2034,5,15,1,0,1,Success,76.3358778625954,1888.51905114504,2755.8967,1056.38813754334,3.56168731463854,1.80332757421954,103.809523306961,10.0368507460976,59.1836703560271,2776.6079876551,0.771279996570862,131
SE-ET-NMPC,9,2035,5,15,1,0,1,Success,78.5185185185185,1938.54235333333,2591.1692,1018.03745317123,3.05933553119485,1.29344370272302,109.703765307842,12.4206752456755,60.8266474803527,2910.50786810156,0.80847440780599,135
SE-ET-NMPC,10,2036,5,15,1,0,1,Success,78.9473684210526,1941.90424661654,2588.7476,1006.79605878005,4.63643702407281,2.92126078534104,105.633655363347,11.3025746570566,59.5055734026726,2842.86357655325,0.789684326820347,133
SE-ET-NMPC,11,2037,5,15,1,0,1,Success,77.9411764705882,1920.83525294118,2615.4455,1025.95003301255,4.01045917638379,1.99450552218006,108.807269977167,12.7848634040983,61.0834835996493,2934.37063279906,0.815102953555294,136
SE-ET-NMPC,12,2038,5,15,1,0,1,Success,78.6764705882353,1942.22195367647,2620.0588,1015.19822677915,3.82820979014114,1.98272164013492,108.39448211707,12.6206095802171,61.4533948092805,2930.09220705256,0.813914501959045,136
SE-ET-NMPC,13,2039,5,15,1,0,1,Success,76.6917293233083,1891.06545037594,2593.5324,1046.60173278162,3.55994243982563,1.55280493071526,106.143337169364,11.4200485007783,59.9879842649094,2846.35240818009,0.790653446716691,133
SE-ET-NMPC,14,2040,5,15,1,0,1,Success,79.136690647482,1953.35707553957,2613.5375,1006.87335162705,3.68523785550656,1.98047104399106,110.903150447578,12.6369296889277,61.6822716116367,2989.45261571312,0.830403504364755,139
SE-ET-NMPC,15,2041,5,15,1,0,1,Success,80,1972.83846296296,2601.5483,990.442591122417,4.07767323435223,2.2436661801352,107.187186162489,11.2855005941814,59.7595717244116,2881.61171695838,0.800447699155104,135
SE-ET-NMPC,16,2042,5,15,1,0,1,Success,77.7777777777778,1918.91320888889,2611.0684,1029.76329220729,4.23614451524875,2.32633937934814,104.583497712771,11.324309039787,59.6752219964432,2877.22014902621,0.799227819173946,135
SE-ET-NMPC,17,2043,5,15,1,0,1,Success,77.4436090225564,1912.67600451128,2649.5251,1036.49932196012,2.93923466322999,1.28863064747025,107.229393487163,9.66372792216276,59.1148296832666,2811.60415322379,0.781001153673275,133
SE-ET-NMPC,18,2044,5,15,1,0,1,Success,78.7671232876712,1948.56322054795,2641.3809,1015.54346032997,3.29243289919958,1.38486725729012,119.744191225727,14.6439358366994,63.3253175147978,3175.32483364721,0.882034676013115,146
SE-ET-NMPC,19,2045,5,15,1,0,1,Success,78.2608695652174,1933.36498188406,2577.6169,1022.90270192791,2.95490127169772,1.29272353664077,110.54739292487,11.3375346307121,60.2931307630844,2943.42596026535,0.817618322295931,138
SE-ET-NMPC,20,2046,5,15,1,0,1,Success,77.6119402985075,1920.62052537313,3166.4041,1037.46977974637,2.5877762230376,0.876622466428117,108.447541246294,10.0627785712993,60.0810354712502,2840.42906345926,0.789008073183127,134
SE-ET-NMPC,21,2047,5,15,1,0,1,Success,79.8507462686567,1980.60276044776,3160.277,1001.01095083744,3.16921554720693,1.20601101853783,109.605148361193,10.2564794108568,59.336953553688,2846.81614605204,0.790782262792234,134
SE-ET-NMPC,22,2048,5,15,1,0,1,Success,76.1194029850746,1886.27827761194,2594.9816,1060.88026490534,4.6642369225719,2.78449773420037,103.758594191162,10.9159242155495,59.5340031543167,2848.98550957063,0.791384863769618,134
SE-ET-NMPC,23,2049,5,15,1,0,1,Success,75.7575757575758,1868.7446030303,2648.4533,1061.43676616444,5.01608645737249,3.36026287671495,101.163328521364,11.1832668194591,59.621017845586,2813.41490168321,0.781504139356448,132
SE-ET-NMPC,24,2050,5,15,1,0,1,Success,76.1194029850746,1874.70491044776,2612.9556,1054.2488608248,4.24606886450464,2.36972771152791,104.687021085816,10.81530038357,59.4435547324931,2848.72710666339,0.791313085184275,134
SE-ET-NMPC,25,2051,5,15,1,0,1,Success,79.0849673202614,1952.31349477124,2750.613,1007.86615975971,2.86497373219864,1.18113567803748,121.088040073597,13.1668305924619,64.4272438522826,3272.96166895873,0.909156019155203,153
SE-ET-NMPC,26,2052,5,15,1,0,1,Success,76.3358778625954,1884.36068931298,2737.608,1053.63817199861,3.58472080191002,1.6926583534037,102.24144293961,9.77690627011137,58.9975453475126,2768.00742268592,0.768890950746089,131
