Algorithm,NumDynamicObstacles,NumStaticBuildings,TotalRuns,SuccessfulRuns,FailedRuns,SuccessRatePercent,CollisionRatePercent,AvgTriggerRatePercent_SuccessOnly,AvgCPUms_SuccessOnly,MaxCPUms_SuccessOnly,StdCPUms_SuccessOnly,AvgMinDistanceMeter_SuccessOnly,AvgMinClearanceMeter_SuccessOnly,ControlEffort_SuccessOnly,TotalClimbMeter_SuccessOnly,PathLengthMeter_SuccessOnly,EstimatedEnergyJ_SuccessOnly,EstimatedEnergyWh_SuccessOnly,AvgSteps_SuccessOnly
Proposed ET-NMPC,5,15,30,30,0,100,0,77.7089818875415,2163.61604129166,3120.01149,1166.37253726009,3.72889297199429,1.9376543046407,107.915273180762,11.5938306389215,60.3935821487124,2909.34942900685,0.80815261916857,136.1
C-NMPC,5,15,30,29,1,96.6666666666667,3.33333333333333,100,2588.46345520197,2830.79945862069,49.6698472225054,3.74133750555996,1.95438806931409,119.825999290155,11.6730366202484,60.7745398790134,2951.6565937597,0.819904609377696,137.034482758621
NP-ET-NMPC,5,15,30,25,5,83.3333333333333,16.6666666666667,75.0277763468085,1862.95457171908,2692.046992,1079.27592792554,3.26649987799143,1.4428023508585,103.555889906856,10.9653110696491,59.5846685053982,2859.69828322784,0.794360634229954,134.56
SE-ET-NMPC,5,15,30,29,1,96.6666666666667,3.33333333333333,77.728438768645,1918.71473812664,2670.1419862069,1030.49914972104,3.76362717523669,1.96100821645561,107.646174488812,11.4599525910685,60.2984764914148,2896.74864794066,0.804652402205739,135.586206896552
3D-APF,5,15,30,4,26,13.3333333333333,86.6666666666667,0,0.132112420904784,11.31195,0.875398133554545,2.35707194292463,0.54008776000679,132.030663707373,11.1674752817963,66.9414924446045,3437.31761137422,0.95481044760395,163.25
RRT*,5,15,30,0,30,0,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
